0 1
2770 1
2770 0
3030 0
3030 1
3180 1
3180 0
3218 0
3218 1
3328 1
3328 0
3587 0
3587 1
4020 1
4020 0
4049 0
4049 1
4160 1
4160 0
4299 0
4299 1
4315 1
4315 0
4369 0
4369 1
4932 1
4932 0
5201 0
5201 1
5305 1
5305 0
5352 0
5352 1
5358 1
5358 0
5368 0
5368 1
5809 1
5809 0
5831 0
5831 1
5857 1
5857 0
5889 0
5889 1
5966 1
5966 0
5990 0
5990 1
6527 1
6527 0
6803 0
6803 1
7105 1
7105 0
7370 0
7370 1
7658 1
7658 0
7925 0
7925 1
9280 1
9280 0
9536 0
9536 1
10880 1
10880 0
11142 0
11142 1
11445 1
11445 0
11708 0
11708 1
12001 1
12001 0
12263 0
12263 1
13611 1
13611 0
13875 0
13875 1
14168 1
14168 0
14434 0
14434 1
15783 1
15783 0
16045 0
16045 1
16339 1
16339 0
16602 0
16602 1
17955 1
17955 0
18214 0
18214 1
19558 1
19558 0
19819 0
19819 1
20133 1
20133 0
20398 0
20398 1
20692 1
20692 0
20959 0
20959 1
21968 1
21968 0
22006 0
22006 1
22308 1
22308 0
22568 0
22568 1
23906 1
23906 0
24170 0
24170 1
24469 1
24469 0
24736 0
24736 1
25031 1
25031 0
25291 0
25291 1
26644 1
26644 0
26906 0
26906 1
28249 1
28249 0
28508 0
28508 1
28818 1
28818 0
29076 0
29076 1
29370 1
29370 0
29631 0
29631 1
30983 1
30983 0
31244 0
31244 1
32582 1
32582 0
32848 0
32848 1
33153 1
33153 0
33413 0
33413 1
33710 1
33710 0
33969 0
33969 1
35324 1
35324 0
35581 0
35581 1
36925 1
36925 0
37186 0
37186 1
37504 1
37504 0
37766 0
37766 1
38705 1
38705 0
38725 0
38725 1
39107 1
39107 0
39371 0
39371 1
39669 1
39669 0
39935 0
39935 1
40229 1
40229 0
40489 0
40489 1
41841 1
41841 0
42110 0
42110 1
43444 1
43444 0
43707 0
43707 1
44017 1
44017 0
44272 0
44272 1
45615 1
45615 0
45875 0
45875 1
46185 1
46185 0
46441 0
46441 1
47785 1
47785 0
48045 0
48045 1
48349 1
48349 0
48612 0
48612 1
49953 1
49953 0
50214 0
50214 1
50518 1
50518 0
50781 0
50781 1
51076 1
51076 0
51336 0
51336 1
52690 1
52690 0
52949 0
52949 1
53245 1
53245 0
53505 0
53505 1
54363 1
54363 0
54375 0
54375 1
54874 1
54874 0
55129 0
55129 1
56477 1
56477 0
56735 0
56735 1
57044 1
57044 0
57300 0
57300 1
57596 1
57596 0
57859 0
57859 1
59214 1
59214 0
59472 0
59472 1
59771 1
59771 0
60025 0
60025 1
61380 1
61380 0
61639 0
61639 1
62988 1
62988 0
63242 0
63242 1
63548 1
63548 0
63808 0
63808 1
64104 1
64104 0
